,text,user
37,"sporo pubów i miejsc, na imprezie klubowej nie byłam :)",Laura
38,świetnie wyglądasz,alessa
39,Nigdy nie zrozumiem takiej długości spodni ;) ,Anonymous
40,Oglądałaś Videodrome Cronenberga? Tobie może się spodobać.;),wielkiwu
41,"tak, dobry film :)",Laura
42,ukochana czerń.,kokijaże
43,"kurde chce sciagnac vscocam a nie mam karty kredytowej tylko debetowa, moj kolega chce zaplacic mi to 0,89 ale boje sie ze bedzie mial pozniej przez to jakis problem, jak to zrobilas Lorka? :( ",Anonymous
44,"w każdym banku mozna wziąc sobie kartę kredytową, koszt wyrobienia to kilkanascie PLN. jeżeli kolega nie kupował jeszcze nic w App Store to z tego co pamiętam najpierw mu skasuje więcej z karty w ramach weryfikacji a później to zwracają ",Laura
45,ja sciagnelam dwa tygodnie temu vscocam za darmo z apple store,Anonymous
46,"http://instagram.com/dominikarogowska/# troche kopia w opor, tragediaaaaaa",Anonymous
47,egzakli ,Anonymous
48,Gdzie kupiłas swoje nike roshe?,Anonymous
49,"wow, po prostu cudnie!",Adelajda
50,proszę powiedz czy te shorty sa jeszcze w Zarze albo jaki maja nr ref. <3 dziekuje!,ewaklim
51,one są z przecen letnich a rzeczy przecenionych nie da się znaleźc po numerze ref (2400/370) w sklepach. jak kupowalam była ostatnia sztuka :),Laura
52,"własnie ostatnio szukalam ich w złotych, na marszalkowskiej i w galerii krakowskiej i nic.. szkoda. ale dzieki za odp :)",ewaklim
53,"ja widziałam jedną sztukę w zeszłym tygodniu w Złotych, ale rozmiar L :(",Anonymous
54,"Wyslalam komentarz odnoscnie filozofii, nie dodal sie? Podasz mejla? ",Anonymous
55,"mymonkeyisdead@hotmail.com, bo nie wiem jaki",Laura
56,poszło! :),Anonymous
57,"Laura obrazilam sie na Ciebie, za ta piekne, DŁUGIE,zdrowe wlosy. ja zapuszczam swoje od dawien dawna i stoją w miejscu, caly czas taka sama dlugosc, no chyba ze podetne koncowki to sa jeszcze krotsze... ZAZDRO!",Anonymous
58,"moje czasami wyglądają naprawdę okropnie, bo bardzo się lubią puszyc na koncach",Laura
59,zapraszam :)http://allegro.pl/spodniczka-zara-36-s-kopertowa-kieszenie-trend-hit-i3390941276.html,Anonymous
60,"Laura, czy robisz coś z brzegami ubrań borska? Wiadomo, jest to surowe cięcie - po wyjęciu z paczki brzeg był idealnie prosty. Dopiero po praniu zaczęły się ""rolować"". Nadal wyglądają genialnie (btw. super wyglądasz w tym topie!), pytam z ciekawości:)",Anonymous
61,"nie mam rzeczy od Borskiej ściętych bez podszycia, bluzka z posta ma szew (chyba, bo nie mam do niej teraz dostępu ale tak mi się wydaje, na pewno nie jest surowo ścięta)",Laura
62,http://www.photoblog.pl/nekronaut/146953384/13-13-13.htmlhttp://www.photoblog.pl/nekronaut/154613407/white-angora.htmlktoś tu zrzyna twój styl :),Anonymous
63,"w jakim sensie? proste rzeczy to bardzo ogólne pojęcie, nie mam monopolu na minimalizm a make-up i ogólny look bardzo przerysowany, ja się tak nie maluję, więc nie sądzę :)",Laura
64,"mega podobna do ciebie i chyba ma jeszcze większe usta, bez powiększania...",Anonymous
65,"nie jest, same ciemne włosy to nie jest podobieństwo. ma szczuplejszą twarz, większy nos, inny kształt ust, bledszą cerę, inny kolor oczu i tak by wymieniac :) śliczna dziewczyna",Laura
66,"oj tak, alicja to wierna kopia Laury :) Lorka dodaje na blog swoje nowe buty z zary, za dwa dni u alicji na blogu na pingerze to samo :) laura dodaje na insta foto z zakrwawionymi ustami, u alicji to samo po paru dniach :)",Anonymous
67,"nie podobna do Ciebie to ona nie jest, ale przyznaj, że zdjęcia robione w podobnym ujęciu, sposób w jaki pozuje do zdjęć, styl biały sweterek z angory+ biale szpilki+ ta torebka+ bransoletka na początku myślałam, że to twój fotoblog :)",Anonymous
68,"polecisz jakieś salony kosmetyczne w Katowicach, gdzie można za niewielką cenę powiększyć usta?",Anonymous
69,na takich rzeczach się nie oszczędza... powiększysz tanio ale kiepskim preparatem,Laura
70,a gdzie Ty powiększałaś? ja też chcę!!!! :( ,Anonymous
71,"Wszystko, co na siebie założysz wygląda naprawdę dobrze :-) Gdybym ja połączyła obuwie sportowe z szerokimi szortami, wyglądałabym jak ostatnia pierdoła :PPozdrawiam serdecznie!",FashionableJungle
72,Lauro czy powiększałaś usta? ,Anonymous
73,"oglądałaś ""drugie oblicze"" z goslingiem? :)",Anonymous
74,"nie rozumiem zachwytów nad tym stylem. masz chyba ładną figurę, a psujesz ją sobie tymi bezkształtnymi ciuchami.",Anonymous
75,"Czy mogłabyś mi, proszę, powiedzieć, gdzie kupiłaś swoje buty? Bo jak zwykle obudziłam się za późno i nigdzie nie mogę ich znaleźć. A jak jest z ich rozmiarówką?Pozdrawiam",Miryo
76,"Czy mogłabyś mi, proszę, powiedzieć, gdzie kupiłaś swoje buty? Bo jak zwykle obudziłam się za późno i nigdzie nie mogę ich znaleźć. A jak jest z ich rozmiarówką?Pozdrawiam",Miryo
77,Swietny zestaw <3,THE  DIVINITUS
78,co masz napisane na tej bransoletce? <3,Anonymous
79,Ale pięknie tu wyglądasz! Laura w jakiej cenie będzie sweterek? Nie wiesz czy będzie dostępny na stronie internetowej? ,Anonymous
80,"kolekcja chyba będzie od jutra w sklepie internetowym :) ceny rzeczy będą następujące: sweter 99zł, szalik 149 a spódniczka 699",Laura
81,"mam cichą nadzieję, że ta spódnica będzie na jakieś wyprzedaży za ok 400 zł maks lub do zdobycia na allegro :) Piękna jest.",Anonymous
82,"pieknie, ale te usta to masz troche przerażające ;p",Anonymous
83,Woow! 5. zdjęcie idealne połączenie Monici Bellucci i Anne Hathaway <3,Unknown
84,"Ty wyglądasz niesamowicie! Wszystko mi się podoba - osobno. Albo inaczej, wg mnie lepiej by jednak do tej spódnicy wyglądy buty na wysokim obcasie, bo tutaj strasznie skróciła ci nogi :(",Anonymous
85,dziękuję! do szpilek też będę nosić :),Laura
86,"na Twoim miejscu nosiłabym dresy, po chuj Ci jeszcze taka dojebana stylówka, kiedy wyglądasz jak bogini Laurko? hahah",Anonymous
87,:*,Laura
88,Czy nie wolałaś topu w rozmiarze 34? Materiał jest rozciągliwy?,Anonymous
89,"nie, nie lubię jak prążki są tak na maksa naciągnięte, taki stopień dopasowania mi odpowiada :)",Laura
90,"piekny stroj, ta spodnica jest cudowna, zdj tez bardzo dobre, ale Ty niestety zamiast dzisiaj powalic to te wlosy i miny/pozy nieciekawie, szkoda :(  co nie zmienia faktu, ze Cie uwielbiam",Anonymous
91,"dzięki! czyli jednak widać na zdjęciach bad face day, a mówią, że to się dzieje tylko w naszych głowach :D",Laura
92,Jezu to chyba Twój najpiękniejszy set! <3 rewelacja! <3,Jeans Please!
93,jaki rozmiar swetra masz/,Anonymous
94,36,Laura
95,"no i mam problem z ta spódnicą, tyłek mam mniejszy ale za to mam mały brzuszek a tak to wchodzę w jeasny z Cosa 26 jaki rozmiar radzisz wybrać? sama juz nie wiem:-(",Anonymous
96,"hmm, nie chcę Cię wprowadzić w błąd! ja bym zaryzykowała 34 na Twoim miejscu, ale z drugiej strony lepiej trochę za luźna niż krępująca ruchy za ciasna",Laura
97,http://www.zara.com/pl/pl/kobieta/akcesoria/szale-i-apaszki/apaszka-z-krawatowym-wi%C4%85zaniem-c271013p2977056.html czy http://www.zara.com/pl/pl/kobieta/akcesoria/szale-i-apaszki/apaszka-z-krawatowym-wi%C4%85zaniem-c271013p2977056.html która jest Twoja? bo ta druga taka jakby z aksamitu,Anonymous
98,ja mam ten pierwszy matowy,Laura
99,"anonimie, to jest ten sam link :D wpisany podwójnie",Anonymous
100,"ale wiem o co chodzi, druga to ta aksamitna",Laura
101,czy mogłabyś przyrównać tę spódnicę do tej lnianej z Zary ołowkowej? fason podobny i też mam S i mi odstaje z boków trochę i nie jest tak opięta na tyłku tyle że w pasie ok? to radzisz zamawiać 34?,Anonymous
102,"mi S z lnianej nigdzie nie odstaje, więc myślę, że możesz zamówić 34 z hm",Laura
103,Top studio jest bardzo cienki? Odcień jaśniejszy od topu w prążek z długim rękawem? Mogłabyś je porównać i ocenić?,Anonymous
104,"jest cieniutki. odcień chyba trochę cieplejszy niż ten z długim rękawem, ale zbliżony. ten jest fajniejszy w ogolnym rozrachunku, bo to baardzo cienka welna, lubię taki materiał",Laura
105,Według Ciebie bardzo prześwituje?,Anonymous
106,"prześwituje, bez stanika konkretnie widać zarys cycków :D",Laura
107,Dziękuję :),Anonymous
108,jak ta apaszka cienka z Zary? jesteś zadowolona z niej?,Anonymous
109,"jest spoko. chciałabym taką jedwabną, ale nigdzie nie widziałam. ta Chloe też fajna, bawełniana: http://www.net-a-porter.com/de/en/product/608411?cm_mmc=LinkshareUK-_-ADhu3BBAvHo-_-Custom-_-LinkBuilder&siteID=ADhu3BBAvHo-GjRopivrGxSeW2Quzs22GA ale sprzątnęli je w sekundę",Laura
110,sorki że Ci tak marudzę ale czy mogłabyś jeszcze przymierzyć tę spódnicę jedną do drugiej z Zary ołowkową i te skórzaną i napisać czy duża jest różnica między nimi w biodrach w pasie? sama już nie wiem czy nie lepiej większą brać ,Anonymous
111,"jak wrócę do domu to mogę zrobić zdjęcie, wrzucę pod tym komentarzem",Laura
112,ok dzięki bardzo:-) chiałabym ją zamówić i cały czas się zastanawiam z rozmiarem może zdjęcie rozwiąże problem:-),Anonymous
113,"Sorki, że się wtrącam, ale przecież można ją oddać/wymienić w stacjonarnym H&M bez żadnego problemu! ;) A widzę tu masę komentarzy o idealne dopasowanie spódnicy.",Anonymous
114,"niby tak, ale trzeba czekać na zwrot kasy/może nie być na co wymienić, bo mniejszy rozmiar się wyprzeda zanim niepasujący dotrzezdjęcie: http://oi58.tinypic.com/2s1qccn.jpg",Laura
115,Racja Laura: dzisiaj lookałam na stronę H&M i już ok. 10:00 niektóre rzeczy były wyprzedane :O,Anonymous
116,"Ładnie,ale cienka, obcisła bluzka prosi się o całkiem gładki biustonosz. Ta koronka trochę narozrabiała.",Anonymous
117,"wiem, też mnie to wkurzało! ale tylko taki miałam w kolorze nude, gdybym nie robiła zdjęć to nie założyłabym żadnego pod spód",Laura
118,skąd znasz adę piekarską?,Anonymous
119,nie znamy się dobrze - tylko raz ze sobą rozmawiałyśmy chwilę,Laura
120,http://img12.allegroimg.pl/photos/oryginal/56/17/43/40/5617434010co sądzisz o takim fasonie?,Anonymous
121,nie cierpię takiego kształtu butów :D,Laura
122,"Mam nadzieję iż nikogo to nie zdenerwuję, ale korzystając z okazji, że odwiedzające ten blog poszukują rzeczy dobrych pod względem jakości pragnę zaoferować nową ramoneskę z naturalnej skóry firmy H&M,,klasyczny krój, rozmiar S/M,cena tylko 199zł.http://www.vinted.pl/damska-odziez/kurtki/10280915-ramoneska-kurtka-skora-100-prawdziwa-naturalna-skorzana-hm-mango-cos-zara-horkruks-nowa-sm-romwePrzepraszam za spam,ostatni obiecuję!+ Laura piękny set, na piątym zdjęciu wyszłaś przepięknie, niespotykana włoska uroda!",Anonymous
123,"Ktoś kto to napisałł, ukradł moje zdjęcia w tej kurtce i jeszcze podaje złe informacje...Na zdjęciach mam kurtkę w rozmiarze L..",Anonymous
124,"Laura wracasz do trochę ciemniejszego brązu czy skłaniasz się ku zostaniu przy tym kolorze?Ja Cię wolałam w ciemniejszych, ale ładnemu i tak we wszystkim ładnie ( chociaż w sumie blond mnie nie urzekł na Tobie)",Anonymous
125,są wypłowiałe - to jest mój ulubiony kolor wlosow: http://1.bp.blogspot.com/-D_AZW_AlCJM/VZBV2xG-3MI/AAAAAAAAUo4/tRkVC_yQNHY/s1600/denimuniform1.JPG ale niestety dosyć szybko się wypłukuje a nie chcę zbyt często farbować :) w przyszłym tygodniu będę farbować,Laura
126,Laura mozesz napisac jakiej firmy masz stanik na zdjeciu (moze model) ? bardzo ladnie w nim wyglada Twoj biust :),Anonymous
127,"pytacie o rzecz, której kompletnie nie widać? :D to taki koronkowy stanik bardotka bez poduszek La Perla",Laura
128,"Laura a wiesz jaka jest cena tej skórzanej spódnicy studio? Wiem, ze zaraz bedzie na stronie ale mimo wszystko chciałabym wiedzieć. Wyglądasz obłędnie! ",Anonymous
129,dziękuję! 699zl,Laura
130,Dziekuje :*,Anonymous
131,"Laura ślicznie tu wyglądasz! Niesamowite są twoje wlosy, jak zrobilas tak delikatne fale? Uzywasz jakiejsc pianki etc?",Anonymous
132,dziękuję! tak wyglądają jak idę spać z mokrymi i je rozczesuje dopiero rano,Laura
133,chciałabyś pojechać do Berghain w Berlinie?,Anonymous
134,"dziwne pytanie, jakbym miała jakąś szczególną chęć to bym pojechała :D kiedyś przy okazji z ciekawosci bym wpadła",Laura
135,"myślisz, że by cię wpuścili?",Anonymous
136,"Lauro, co sadzisz o przyjmowaniu uchodzcow? Masz bardziej konserwatywne lub liberalne poglady? Mieszkam w kraju, ktory jest glownym celem tych emigrantow i szczerze mowiac boje sie, co bedzie dalej i troche wam zazdroszcze, ze siedzicie w Polsce, w kraju ktory jest totalnie nieatrakcyjny dla nich...",Anonymous
137,"nie chcę się tutaj na ten temat wypowiadać, rzygam już tym tematem, bombarduje mnie z każdej strony, jeszcze tylko tutaj brakuje debaty w komentarzach",Laura
138,"Hej Laura, bylabym Ci wdzieczna gdybys napisala co ladnego masz tutaj na ustach ? ",Anonymous
139,Inglot 405 :),Laura
140,Dziekuuje ; *,Anonymous
141,♥,Milex xxx
142,"Cześć. Ty będziesz wiedziała. Czy do skórzanej spódnicy potrzebna jest podszewka? Skóra od spodu jest miła w dotyku, a podszewka mnie denerwuje i chciałabym ja wyciąć. Spódnica jest ołówkowa j na 100% nie będzie podnosić się do góry na rajtkach, ale może się kręcić na biodrach, choć jest dobrze skrojona.Wyciąć?z góry dziękuję za odp.",Sylwia Wicher
143,"hmm, sama nie wiem, z podszewką jest o tyle przyjemnie, że gdyby zrobiło się cieplej a miałabyś gołe nogi to nie będziesz się kleić do skóry. skoro i tak chcesz nosić na rajstopy to myślę, że można wyciąć. wycięłabym tym bardziej gdyby podszewka była sztuczna. niektóre cienkie rzeczy po wycięciu podszewki tracą fason, bo nic ich nie usztywnia, ale w przypadku skóry to raczej nie jest problem :)",Laura
144,"Laurka, a zamawiasz coś jeszcze z kolekcji Studio? ",Anonymous
145,czarne dzwony,Laura
146,"Lauro, zdarza Ci się układać włosy, czy nie lubisz? Jesteś przepiękna, ale czasami Twoje włosy psują cały efekt stylizacji. Używasz drogich kosmetyków, farbujesz, ale nigdy z nimi nic nie robisz - rozumiem, że może to też część Twojego stylu, ale z reguły wyglądają bardzo niechlujnie. Dziwi mnie to, bo jesteś naprawdę przepiękna, masz zrobiony ładny makijaż, a włosy jakby żyły swoim życiem. Ładnie Ci się falują, a z wcześniejszych stylizacji bardzo lubiłam Twoją fazę na koki i kucyki, ale to jeszcze za czasów czerni ;) Absolutnie nie hejtuję, a wyrażam swoje zdanie, bo nie chcę lawiny komentarzy, tak jak było np. z Twoimi paznokciami XD, ale chętnie zobaczyłabym Cię w takich seksownych, delikatnych falach, fajnych, luźnych upięciach, czymś po prostu innym :) Wiem, że nie lubisz takich wyprostowanych drutów, ale może któregoś dnia coś wyczarujesz z fryzurą? Pamiętam  z wcześniejszych stylizacji, że jedyne zdjęcia, na których miałaś ułożone włosy, to te po licznych wizytach u fryzjera. Moim zdaniem brakuje Ci tylko porządnej fryzury i byłoby genialnie! Zawsze zwracam uwagę na fryzurę, bo u mnie fryzura jest nr 1, choćby się waliło, paliło i świat miał się kończyć, włosy muszą być perfekcyjnie ułożone ;)",Anonymous
147,"ja w ogole nie układam włosow, nie umiem, nawet nie mam jakichś szczotek do modelowania i innych tego typu rzeczy :D lubię taki lekki rozgardiasz na głowie (w tym poście akurat lekki to on nie jest, ale wiesz na pewno o czym mówię). a ogolnie to zawsze do tygodnia-dwóch od wizyty u fryzjera dbam o włosy, później zawsze tak jakoś wychodzi, że sobie odpuszczam, zazdroszczę determinacji włosomaniaczkom :D",Laura
148,"a wg mnie są idealne i Laura z ulożonymi włosami to by nie była ta sama Laura! ( wiem,że masz na imię Laura od zawsze ale teraz wydaje mi się to dziwne XD, to faktycznie piękne imie!) I uważam,że ten bajzel na głowie to po prostu Twój nierozłączny element (mega seksowny swoją drogą). ",Anonymous
149,też nie umiem układać włosów XD ,Anonymous
150,czy gdybyś miała mniejszy tyłek:-) zamówiłabyś 34 z tej spódnicy? ona powinna być dopasowana mocno?,Anonymous
151,"tak, ona mi się podoba dopasowana",Laura
152,https://instagram.com/p/7c5_X0BhTp/ jaki top?,Anonymous
153,bialy tshirt olafa miałam do tego,Laura
154,"nie jestem pierwsza ale.... 5. zdjęcie po prostu powala, niczym z najlepszych gazet modowych!Zdradź mi proszę jak wytłumaczyłaś fryzjerce, żeby tak ścięła Ci grzywkę??Wiem, że miałaś już grzywkę (pamiętam Cię jeszcze w platynowych-blond włosach ;) ), ale była ścinana w klasyczny sposób, a ta jest po prostu niesamowita.Pozdrawiam ",Anonymous
155,"bardzo dziękuję! :) sama ją ścinam, po prostu robię ją z małej ilości włosów żeby były te prześwity",Laura
156,Ten płaszcz na nowym zdjęciu na insta to ten trencz Burberry?,Anonymous
157,"nie, to prosty płaszcz Burberry z krytymi guzikami",Laura
158,Jakie buty i jaki płaszcz na zimę?,Anonymous
159,"jeszcze nie robilam zakupow, zrobie posta",Laura
160,Twój trencz Burberry posiada 5 guzików w rzędzie?,Anonymous
161,"nie wiem, nie mam go pod ręką",Laura
162,pytałam o spódniczkę: tak http://www.horkruks.com/2015/04/tobacco-suede-white-shirt.html masz jakiś zamiennik na oku? tej już nie masz - sprzedana?,Anonymous
163,podoba mi się taka zamszowa do kolan z Zary z guzikami z przodu,Laura
164,"Laura, jakiego bronzera używasz? :D",Anonymous
165,obecnie IsaDora 93 glimmering tan,Laura
166,cudownie wygladasz w tej spodnicy! xxx,Barbra
167,http://www.zara.com/pl/pl/kobieta/torby/zobacz-więcej/torebka-typu-city-z-imitacji-skóry-krokodyla-c734144p2826106.html co sadzisz?,Anonymous
168,nie kupilabym torebki z eko skory ale ma ladny ksztalt,Laura
169,Laura zapuszczaj grzywkę i wróć do platynowych włosów:) będziesz wyglądać przepięknie ,Anonymous
170,L . doradz prosze co myslisz?http://www.mangooutlet.com/PL/p0/kobieta/buckle-ankle-boots/?id=33065669&n=0&ts=1440233940008,Anonymous
171,"nie kupiłabym, ale spoko są",Laura
172,"Laurko, jakiej marki jest ta boska biała walizka, która leży na szafie, na pierwszym zdjęciu szarego swetra w sklepie: http://previastore.shoplo.com/kolekcja/front/sweter-prazki-s-m ? Wszędzie szukam takiej fajnej, bardzo białej ale trafiałam na same ivory albo ecru! :( z góry dzięki!",Anonymous
173,http://www.mojawalizka.pl/walizki/walizki-twarde/bon-air/american-tourister-bon-air-spinner75-85a-003.html#color_5781 :),Laura
174,"zastanawia mnie, czy masz w laptopie jakiś folder z modowymi inspiracjami, albo spodobala ci sie jakas sesja, jakies zdjecia, pokaz, outfit - zapisujesz to?",Anonymous
175,na telefonie mam mnostwo screenow jak cos mi się spodoba,Laura
176,po co w pzn?n impreze?,Anonymous
177,idziesz na jakas impreze zisij w pzn??,Anonymous
178,"to ty jestes na ty billboardzie, serio?? :OOO co to za akcja?",Anonymous
179,"to nie ja, haha, to kampania Pinko, dziewczyna jest do mnie bardzo podobna, ale tylko na tym zdjęciu :D",Laura
180,chodz dzisiaj do tamy albo labu w poz,Anonymous
181,"Te buty i ""foliowa"" spódnica wyglądają kiepsko.",Anonymous
182,"L, jaki odcień masz szminki Ellis Faas tutaj na ustach? https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/e15/10251267_418162208342432_169595023_n.jpg",Anonymous
183,Dark Blood :),Laura
184,co pod spodem? https://instagram.com/p/7fTOuCBhQQ/,Anonymous
185,jeansy re/done i biały longsleeve,Laura
186,co robisz w Poznaniu?,Anonymous
187,"nic, tak po prostu się wybrałam",Laura
188,Jakiego tuszu do rzęs używasz? Boska oprawa oczu <3,Anonymous
189,obecnie Clinique High Impact,Laura
190,"Lauro, jaki jest rozmiar twojej torebki Mansur Gavriel?",Anonymous
191,"to jest ta normalna, nie mini",Laura
192,z jakiej firmy czarny golf? pasek jest damski czy męski?,Anonymous
193,jaki czarny golf i pasek?,Laura
194,zdjęcie instagram,Anonymous
195,"to nie jest golf - cienki sweter Solar. pasek też, damski",Laura
196,"myślałam, że to golf https://instagram.com/p/7h_JD2BhQb/ :)",Anonymous
197,"nie, to cień :) jest mocno zabudowany pod szyją, ale to nie jest golf",Laura
198,pasek polecasz? czy lepszy levis?,Anonymous
199,"jakbym miała wybrać to ten mi się bardziej podoba niż Levis i jest krótki, idealny do spodni z wyższym stanem",Laura
200,http://www2.hm.com/pl_pl/productpage.0249100017.html co o nim sądzisz?,Anonymous
201,super!,Laura
202,"Co sobie kupiłaś ładnego w COS? :3 Dawno nie byłam i zastanawiam się, czy mają teraz coś godnego uwagi",Anonymous
203,"L.doradz proszę, kupuje te buty od lat (pamietam zechyba Ty tez kiedys miałaś jedne), ale teraz nie wiem na jaki model sie zdecydować1. http://www.horsehouse.pl/pl/Katalog/Jezdziec/Buty/Sztyblety/Sztyblety-HH-Quality-1.html?price_from=&price_to=250&od=price_ASC2. http://www.horsehouse.pl/pl/Katalog/Jezdziec/Buty/Sztyblety/Sztyblety-Karo-Butdam.html?price_from=&price_to=250&od=price_ASC3. http://www.horsehouse.pl/pl/Katalog/Jezdziec/Buty/Sztyblety/Sztyblety-Negro-York.html?price_from=&price_to=250&od=price_ASC dostrzegasz jakas róznice w jakosci np. między nimi?",Anonymous
204,"nie widzę różnicy, te podobają mi się najbardziej, ale to chyba kwestia najlepszego zdjęcia: http://www.horsehouse.pl/pl/Katalog/Jezdziec/Buty/Sztyblety/Sztyblety-Karo-Butdam.html?price_from=&price_to=250&od=price_ASCja swoje zamawiałam na chybił trafił",Laura
205,http://www.cosstores.com/gb/Women/Knitwear/High-neck_jumper/46889-30558117.1#c-22755 czy to ten golf kupiłaś? jeśli tak to w jakim rozmiarze?,Anonymous
206,a czy z cosa to ten top? http://www.cosstores.com/pl/Women/Tops/Long-sleeved_t-shirt/46885-17623885.1#c-85354 jaki rozmiar jeśli można wiedzieć?,Anonymous
207,te rzeczy nie są z COS tylko z Solara,Laura
208,"Laura, niedawno dodałaś post o bluzach. Polecasz jeszcze jakieś inne oprócz tych trzech modeli? Nie wiesz, gdzie dorwę bluzy Champion?",Anonymous
209,"nic innego nie mam na oku, np. na zalando",Laura
210,"Mam do Ciebie pytanie - mam wesele w październiku, może wpadła Ci w oko jakaś sukienka, którą można by na taką okazję wrzucić na siebie? :)",Anonymous
211,"nie widziałam ostatnio żadnej sukienki, która mnie zachwyciła. gdybym miała teraz iść na wesele to chyba wzięłabym po prostu http://www2.hm.com/pl_pl/productpage.0323568001.htmlalbo http://www.zara.com/pl/pl/kobieta/sukienki/zobacz-wi%C4%99cej/sukienka-z-d%C5%82ugim-r%C4%99kawem-c733885p2945606.html chociaż żadna z nich nie podoba mi się jakoś bardzo",Laura
212,"I jeszcze jedno - pamiętasz, jak pokazywałaś sukienkę Prady (http://www.horkruks.com/2015/01/obsessed-with-this-prada-fw-2015-dress.html)? Mówiłaś, że chcesz sobie uszyć taką u krawcowej, uszyłaś? Czy porzuciłaś pomysł? I jeśli, to dlaczego (chodzi mi o to, czy brak dobrej krawcowej, materiału itp.). Mam podobny pomysł i robię research, bo trochę obawiam się, co może wyjść z takiego szycia :)",Anonymous
213,"nie uszyłam, nie zabrałam się za to, musiałabym znaleźć materiał, krawcową ze smakiem, zrobić pasek :D",Laura
214,"Dzięki za sukienki (ta z Zary przynajmniej ma fajny skład, a o to trzeba się postarać czasem). Co do szycia to spróbuję, może wyjdzie z tego coś fajnego :)",Anonymous
